format,name,link,archetype,wr,date
standard_bo1,91BBell,https://mtga.untapped.gg/profile/ad406917-0d8e-4599-865c-6b31db86649c/UAVLY4A5U5EOTFSUYJZB747G3M/deck/5ac25122-6836-4d5f-a501-690d23d08b3d?timeFrame=current_season,Mono-Blue Tempo,100%,May 31
standard_bo1,Kistaro,https://mtga.untapped.gg/profile/1159ac13-91ef-4f1f-b0c3-65ae4916a346/Y5HVF5W7BVHAFB2W6UQ7YNF5XM/deck/b4f65e1c-4be0-4a23-be97-f2361283e4c9?timeFrame=current_season,Temur Control,60.0%,May 31
standard_bo1,Xeqtv,https://mtga.untapped.gg/profile/1496e301-a719-4e32-8cfc-c103fa5608a3/5IPSRM6R3RF4PHQKKNO2V3I7UA/deck/0fbd1677-85da-4f40-b734-25b22558b512?timeFrame=current_season,Boros Convoke,53.4%,May 31
standard_bo1,Mulatto_Ranch,https://mtga.untapped.gg/profile/0e4e9974-559c-40a3-9686-d80fb94774b4/FCA342ACB3AAF6AB/deck/dff62589-c454-4436-bfe6-fb6f59c68561?timeFrame=current_season,5-Color Other,58.2%,May 31
standard_bo1,handlessux,https://mtga.untapped.gg/profile/e14022b0-b624-433b-8e46-237b248645ba/AJ5VTUA5DNC2NMPGOMZ2OAIQII/deck/a774ce84-c4a5-4c04-991b-08f7ec503823?timeFrame=current_season,Mono-Black Other,70.6%,May 31
standard_bo1,TNT,https://mtga.untapped.gg/profile/bcb7823c-85e7-48bb-b4d7-8d38e1254389/2CLCCKDMCNAEDHNB2WV44QREVE/deck/c3f77c8e-883e-4895-a8b5-5332b7d70f26?timeFrame=current_season,Boros Other,51.9%,May 31
standard_bo1,GreenBP,https://mtga.untapped.gg/profile/2aeab0a3-e988-4282-a8ea-ff1e8562e018/3DLXR5WEB5DFPHAMMIR6UORMV4/deck/34dac9aa-7c9a-4485-8fc5-e2d29b92bafb?timeFrame=current_season,Boros Convoke,52.2%,May 31
standard_bo1,kaitakuchi,https://mtga.untapped.gg/profile/d1a4060e-ca35-4226-9fa2-1d05b02630e7/JIC7YCSF3RCA7LYLDZPS4TJLMQ/deck/8586fe73-62a2-4713-9275-8555bb08c073?timeFrame=current_season,Gruul Other,63.4%,May 31
standard_bo1,lordking85,https://mtga.untapped.gg/profile/5995da8b-967e-42ce-9569-9826e661e2a8/6G3NGOWM55EQBI75C5K5HRGTYM/deck/fb9e5880-b055-4f15-ba73-e9bee9768d5d?timeFrame=current_season,Boros Convoke,75.0%,May 31
standard_bo1,jredlich,https://mtga.untapped.gg/profile/8b081e33-f462-4249-9bb5-ae9a19b0fdfe/LLYLPRLA4JHTXDT5YPE6VAZ5FQ/deck/4906b442-a7c0-4f15-b424-4982e2bdfe37?timeFrame=current_season,Mono-Black Skeletons,59.9%,May 31
standard_bo1,bwahaha9000,https://mtga.untapped.gg/profile/7f3d9dc2-b1b3-418e-9906-a6f37feda7ed/UVBJ5UA2Z5B6JC4BCAPVVONYZE/deck/3ef54597-5d34-454d-9bb4-7c35489673af?timeFrame=current_season,Azorius Control,62.2%,May 31
standard_bo1,ronb44,https://mtga.untapped.gg/profile/3153b620-e97c-424c-a32f-6d0070b8cfaa/6EUAAJZBUFGV7OUEI2DTPUTRWY/deck/cde7d909-5ec2-4f1b-aea4-b3245a0c4331?timeFrame=current_season,Mono-Red Prowess,78.6%,May 31
standard_bo1,Martin,https://mtga.untapped.gg/profile/45cae7aa-73da-450e-baa2-8f3136d0edc3/X2RDDLNF6NET7NUTGIW73K3C7M/deck/a86d0e7f-ad51-4939-8cd6-f25ac00a9a8a?timeFrame=current_season,Jeskai Control,51.0%,May 31
standard_bo1,iPhone_P3T3R,https://mtga.untapped.gg/profile/cdaf3ee5-7d65-4eb1-bf53-dcd570952dd4/D5PE6VH7TZAS7BCQCYYVWN4E7U/deck/221d8a8f-a2b7-485e-998b-5bf0ae1f932b?timeFrame=current_season,Boros Other,55.1%,May 31
